N_unmapped	6160682	6160682	6160682
N_multimapping	0	0	0
N_noFeature	23651	277174	279725
N_ambiguous	41105	19121	18884
gene0	118	57	61
gene1	165	85	80
gene2	34	16	18
gene3	533	278	255
gene4	193	102	91
gene6	0	0	0
gene7	2	0	2
gene8	67	34	33
gene9	33	15	18
gene10	399	213	186
gene11	295	141	162
gene12	11	10	9
gene13	108	57	51
gene14	13	2	11
gene15	0	0	0
gene16	4	2	2
gene17	130	49	81
gene18	135	76	59
gene19	145	79	66
gene20	134	69	65
gene21	230	111	119
gene22	19	12	7
gene23	44	25	31
gene24	152	78	86
gene25	84	46	38
gene26	52	24	29
gene27	12	7	6
gene28	15	7	8
gene29	24	14	10
gene30	11	7	4
gene31	10	5	5
gene32	220	109	114
gene33	31	17	17
gene34	58	29	29
gene35	135	70	65
gene36	4	7	5
gene37	37	19	26
gene38	12	5	7
gene39	23	10	13
gene40	167	80	87
gene41	27	15	12
gene42	2	1	2
gene43	4	1	4
gene45	14	9	5
gene47	28	16	12
gene48	2	2	0
gene49	56	41	28
gene50	461	234	240
gene51	38	24	16
gene52	14	7	9
gene53	52	21	31
gene54	83	41	42
gene55	20	10	10
gene56	153	85	73
gene57	6	7	12
gene58	581	258	331
gene59	59	26	36
gene60	55	27	31
gene61	4	1	3
gene62	8	6	2
gene63	112	58	54
gene64	141	70	71
gene65	64	36	28
gene66	107	51	60
gene67	5	8	23
gene68	139	75	83
gene69	40	18	22
gene70	457	238	219
gene71	36	24	17
gene72	25	13	17
gene73	16	6	10
gene74	31	16	15
gene75	47	16	31
gene76	12	5	7
gene77	27	14	21
gene78	59	34	33
gene79	41	20	21
gene80	28	15	14
gene81	45	29	17
gene82	186	92	94
gene83	154	74	80
gene84	45	24	21
gene85	32	7	25
gene86	9	5	4
gene87	20	6	14
gene88	22	12	10
gene89	4	2	2
gene90	110	49	61
gene91	298	165	133
gene92	39	18	21
gene93	110	58	52
gene94	492	246	246
gene95	594	324	270
gene96	80	39	41
gene98	12	6	6
gene99	12	5	7
gene100	5	4	1
gene101	9	3	6
gene102	16	7	9
gene103	300	146	154
gene104	84	36	48
gene105	44	28	16
gene106	214	113	101
gene107	124	69	55
gene108	10	7	3
gene109	18	10	8
gene110	7	1	6
gene111	15	9	6
gene112	2	0	2
gene113	0	0	0
gene114	10	5	5
gene115	25	13	12
gene116	71	43	28
gene117	6	3	3
gene118	2	2	0
gene120	103	49	54
gene121	928	479	449
gene122	82	44	38
gene123	50	23	27
gene124	198	88	110
gene125	36	23	13
gene126	124	60	64
gene127	34	16	18
gene128	199	111	88
gene129	17	7	10
gene130	80	43	37
gene131	43	20	23
gene132	568	270	298
gene133	197	96	101
gene134	83	36	47
gene135	12	8	4
gene137	105	56	49
gene138	178	93	85
gene139	31	14	17
gene140	85	42	43
gene141	50	29	22
gene142	39	24	16
gene143	39	20	19
gene144	25	7	18
gene145	70	32	38
gene146	60	42	28
gene147	0	10	11
gene148	88	31	65
gene149	169	90	79
gene151	137	73	64
gene152	128	64	64
gene153	22	11	11
gene154	100	62	45
gene155	8	5	10
gene156	4	3	1
gene157	4	2	2
gene158	9	5	4
gene159	5	2	3
gene160	4	0	4
gene161	0	0	0
gene162	0	0	0
gene163	118	64	54
gene164	86	53	54
gene165	2	12	11
gene166	9	1	8
gene168	0	0	0
gene169	0	0	0
gene170	55	26	29
gene171	1	1	0
gene173	31	14	17
gene174	12	4	8
gene175	2	2	0
gene176	3	0	3
gene177	12	8	4
gene178	11	9	2
gene179	606	273	333
gene180	902	452	450
gene181	243	112	131
gene182	21	9	12
gene184	44	20	24
gene185	1	1	0
gene186	21	12	9
gene187	19	9	14
gene188	118	70	52
gene189	84	47	37
gene190	92	50	42
gene191	6	4	2
gene192	0	0	0
gene193	16	6	10
gene194	41	21	28
gene195	100	48	60
gene196	58	31	27
gene197	226	110	116
gene198	127	53	74
gene199	113	62	51
gene200	73	27	48
gene201	82	47	37
gene202	30	20	12
gene203	91	50	43
gene204	112	61	51
gene205	82	43	39
gene206	481	245	236
gene207	634	298	336
gene208	53	32	21
gene209	117	65	52
gene210	11	5	6
gene211	115	58	57
gene212	525	264	261
gene213	66	40	26
gene214	19	11	8
gene215	818	437	381
gene216	36	24	18
gene217	31	17	20
gene218	122	58	64
gene219	8	8	14
gene220	67	47	36
gene221	15	16	18
gene222	69	45	41
gene223	415	204	211
gene224	114	55	59
gene225	255	130	125
gene226	57	30	27
gene227	10	7	8
gene228	4	7	2
gene229	31	20	15
gene230	32	14	22
gene231	17	8	9
gene232	37	22	15
gene233	19	12	7
gene234	95	54	41
gene235	110	55	61
gene236	53	27	32
gene237	56	27	29
gene238	6	4	2
gene239	8	3	5
gene240	119	55	64
gene241	133	69	64
gene242	147	81	72
gene243	434	240	200
gene244	42	14	28
gene245	371	178	194
gene246	378	191	188
gene247	125	61	64
gene248	37	26	11
gene249	13	4	9
gene250	4	2	2
gene251	22	13	9
gene252	168	79	89
gene253	105	58	52
gene254	23	8	20
gene255	104	51	53
gene256	184	91	93
gene257	392	209	183
gene258	81	31	50
gene259	309	148	161
gene260	15	5	10
gene261	110	58	53
gene262	65	33	33
gene263	26	16	10
gene264	22	11	11
gene265	11	5	6
gene266	46	20	27
gene267	37	17	21
gene268	88	39	49
gene269	35	15	20
gene270	60	28	35
gene271	17	9	11
gene272	3	2	1
gene273	18	9	13
gene274	143	63	84
gene275	190	87	103
gene276	42	23	19
gene277	29	10	19
gene278	35	22	13
gene279	128	65	63
gene280	283	139	156
gene281	210	107	115
gene282	9	4	5
gene283	3	1	2
gene284	2	1	1
gene285	3	2	1
gene286	17	7	10
gene287	131	68	63
gene288	376	204	172
gene289	192	100	92
gene290	62	29	33
gene291	36	21	22
gene292	13	8	12
gene293	2	1	1
gene294	3	2	1
gene295	10	7	3
gene296	5	3	2
gene298	30	18	14
gene299	38	28	20
gene300	26	17	18
gene301	8	5	10
gene302	32	21	17
gene303	50	27	23
gene304	15	9	6
gene305	68	33	35
gene306	96	48	48
gene307	113	48	65
gene308	95	46	49
gene310	6	4	2
gene311	4	3	1
gene312	5	2	3
gene313	111	66	45
gene314	27	14	13
gene315	4	3	1
gene316	21	14	7
gene317	43	26	17
gene318	29	13	16
gene319	14	4	10
gene320	8	2	6
gene321	1	0	1
gene322	1	1	0
gene323	4	3	1
gene324	16	11	5
gene325	38	23	15
gene326	3	2	1
gene327	78	45	33
gene328	59	23	36
gene329	149	87	68
gene330	22	15	13
gene331	19	9	10
gene332	10	6	4
gene333	7	4	3
gene334	5	1	4
gene335	8	3	5
gene336	0	0	0
gene337	1	0	1
gene338	2	2	0
gene339	1	0	1
gene340	59	32	27
gene341	51	22	29
gene342	144	77	67
gene343	94	44	50
gene344	128	81	58
gene345	35	28	18
gene346	21	11	10
gene347	25	15	10
gene348	45	27	18
gene349	68	34	35
gene350	691	337	355
gene351	113	60	53
gene352	33	20	13
gene353	239	120	119
gene354	84	44	40
gene355	29	13	16
gene356	421	233	188
gene357	131	54	77
gene358	25	13	12
gene359	545	276	269
gene360	470	225	245
gene361	2	1	1
gene362	8	4	4
gene363	17	6	11
gene364	18	10	8
gene365	59	28	31
gene366	69	32	37
gene367	74	36	38
gene368	35	17	18
gene369	85	52	33
gene370	62	33	29
gene371	26	10	16
gene372	84	39	46
gene373	14	6	9
gene374	123	68	55
gene375	437	216	221
gene376	22	8	14
gene377	29	16	13
gene378	56	32	24
gene379	100	52	48
gene380	41	21	20
gene381	2345	1183	1162
gene382	1061	558	503
gene383	96	47	49
gene384	266	128	138
gene385	38	22	16
gene386	205	112	93
gene387	51	34	17
gene388	301	148	153
gene389	142	77	65
gene390	29	13	16
gene391	12	5	7
gene392	10	4	6
gene393	16	6	10
gene394	108	59	49
gene395	16	8	8
gene396	254	121	133
gene397	412	216	196
gene398	524	260	264
gene399	0	0	0
gene400	155	66	89
gene401	23	9	14
gene402	9	2	7
gene403	14	8	6
gene404	111	55	58
gene405	37	18	21
gene406	9	3	6
gene407	6	4	2
gene408	13	4	9
gene409	59	31	28
gene410	42	27	15
gene411	11	7	4
gene412	56	28	28
gene413	24	11	13
gene414	7	4	3
gene415	33	13	20
gene416	7	2	5
gene417	12	5	7
gene418	33	15	18
gene419	52	25	27
gene420	13	5	8
gene421	10	3	7
gene422	30	15	15
gene423	5	1	4
gene424	6	3	3
gene425	27	12	15
gene426	3	2	1
gene427	3	2	1
gene428	4	2	2
gene429	18	9	9
gene430	30	10	20
gene431	32	19	14
gene432	8	3	6
gene433	362	182	180
gene434	176	91	85
gene435	20	12	8
gene436	187	104	83
gene437	135	71	64
gene438	96	54	42
gene439	67	36	31
gene440	16	10	6
gene441	17	11	11
gene442	17	10	12
gene443	24	14	12
gene444	39	23	18
gene445	97	57	40
gene446	75	33	42
gene447	81	32	49
gene448	235	120	115
gene449	318	159	159
gene450	73	41	32
gene451	290	149	141
gene452	22	12	10
gene453	15	8	7
gene454	3	3	0
gene455	3	1	2
gene456	13	8	5
gene457	4	2	2
gene458	6	1	5
gene459	69	29	40
gene460	202	97	105
gene461	12	5	7
gene462	27	12	15
gene463	26	13	13
gene464	45	16	29
gene465	100	55	45
gene466	263	124	139
gene467	302	154	148
gene468	54	28	29
gene469	194	89	108
gene470	28	13	15
gene471	61	33	28
gene472	352	178	174
gene473	255	135	120
gene474	78	43	35
gene475	31	13	18
gene476	61	25	36
gene477	31	24	7
gene478	117	65	52
gene479	55	19	36
gene480	47	22	25
gene481	33	13	20
gene482	69	38	31
gene483	188	94	94
gene484	4	2	2
gene485	50	25	25
gene486	29	16	13
gene487	25	13	12
gene488	27	16	11
gene490	27	13	14
gene491	27	14	18
gene492	257	139	123
gene493	28	15	13
gene494	21	15	10
gene495	36	18	22
gene496	1091	539	552
gene497	79	28	51
gene498	128	53	75
gene499	34	16	18
gene500	13	7	10
gene501	13	10	7
gene502	31	16	15
gene503	11	10	6
gene504	33	22	16
gene505	33	22	11
gene506	57	27	30
gene507	1104	560	544
gene508	2007	1014	993
gene509	203	93	110
gene510	66	34	32
gene511	56	28	28
gene512	87	51	36
gene513	54	25	29
gene514	31	12	19
gene515	48	23	25
gene516	93	49	49
gene517	37	20	22
gene518	0	0	0
gene519	302	160	142
gene520	78	32	46
gene521	31	23	8
gene522	28	20	8
gene523	32	17	15
gene524	55	25	30
gene525	66	29	37
gene526	34	23	11
gene527	210	112	98
gene528	243	128	134
gene529	46	32	33
gene530	87	36	51
gene531	187	99	88
gene532	7	7	2
gene533	45	23	27
gene534	181	83	101
gene535	738	387	351
gene536	57	39	18
gene537	8	19	17
gene538	151	93	86
gene539	109	46	63
gene540	52	25	27
gene541	7	3	4
gene542	73	31	42
gene543	37	17	20
gene544	226	134	92
gene545	48	23	25
gene546	6	2	4
gene547	264	128	136
gene548	202	98	104
gene549	87	41	46
gene550	103	59	52
gene551	79	45	42
gene552	270	149	121
gene553	115	70	45
gene554	16	3	13
gene555	8	4	4
gene556	118	54	64
gene557	54	26	28
gene558	23	15	8
gene559	17	13	10
gene560	81	41	46
gene561	66	30	36
gene562	138	75	63
gene563	107	64	43
gene564	54	30	24
gene565	310	153	157
gene566	643	331	312
gene567	818	427	391
gene568	333	165	168
gene569	180	84	96
gene570	423	217	206
gene571	25	12	13
gene574	542	236	306
gene575	92	47	45
gene576	588	288	300
gene577	206	90	116
gene578	514	263	251
gene579	311	160	151
gene580	95	41	54
gene581	123	65	60
gene582	9	7	4
gene583	96	49	47
gene584	50	27	23
gene585	14	7	7
gene586	51	25	26
gene587	155	75	80
gene588	67	37	30
gene589	17	13	4
gene590	38	19	19
gene591	17	9	8
gene592	14	8	6
gene593	14	6	8
gene594	12	8	4
gene595	19	11	8
gene596	35	22	13
gene597	217	123	118
gene598	81	57	48
gene599	266	133	133
gene600	61	27	34
gene601	16	4	12
gene602	66	29	37
gene603	23	11	12
gene604	177	96	84
gene605	9	11	1
gene606	2	1	1
gene607	32	18	14
gene608	17	12	5
gene609	71	36	35
gene610	10	2	8
gene611	25	10	15
gene612	42	23	19
gene613	81	49	36
gene614	1	3	2
gene615	35	22	13
gene616	1	0	1
gene617	0	0	0
gene619	2182	1068	1114
gene620	68	35	33
gene621	167	79	89
gene622	29	18	16
gene623	37	20	21
gene624	4	2	2
gene625	12	5	7
gene626	96	53	43
gene627	83	39	44
gene628	95	55	40
gene629	385	176	209
gene630	9	0	9
gene631	41	23	18
gene632	43	19	24
gene633	39	16	23
gene634	48	20	28
gene635	243	124	119
gene636	629	314	315
gene637	68	27	41
gene638	69	37	32
gene639	29	23	8
gene640	50	24	29
gene641	49	28	22
gene642	27	12	15
gene643	3	1	2
gene644	22	5	17
gene645	4	2	2
gene646	9	4	5
gene647	83	47	36
gene648	84	41	43
gene649	210	98	112
gene650	57	33	24
gene651	3	3	0
gene652	3	2	1
gene653	17	9	8
gene654	1	1	0
