Gene	WT-1	WT-2	rhpS-1	rhpS-2
PSPPH_0185	1	5	1	0
PSPPH_0186	21	43	0	1
PSPPH_0187	19	21	4	2
PSPPH_0188	118	152	67	17
recG	84	160	29	16
oxyR	92	133	20	5
tonB1	6	14	1	0
exbD1	0	7	1	0
exbB1	16	35	8	1
PSPPH_0194	41	33	15	0
PSPPH_0195	100	182	37	21
PSPPH_0196	58	130	31	12
spoT	226	365	169	70
rpoZ	127	170	68	36
gmk	113	164	35	22
PSPPH_0200	73	111	36	18
rph	82	109	28	14
PSPPH_0202	30	45	27	12
PSPPH_0203	91	146	59	37
pyrE	112	158	50	24
PSPPH_0205	82	99	28	18
argB	481	640	112	49
algC	634	845	104	56
dut	53	79	26	6
coaBC	117	191	48	22
radC	11	17	5	3
PSPPH_0211	115	154	76	33
rpmB	525	706	298	116
rpmG	66	105	31	14
PSPPH_0214	19	17	7	1
PSPPH_0215	818	1188	168	66
PSPPH_0216	36	80	21	7
PSPPH_0217	31	71	35	17
PSPPH_0218	122	170	105	49
PSPPH_0219	8	15	3	2
PSPPH_0220	67	96	18	13
PSPPH_0221	15	21	1	2
lrp	69	86	20	0
dadA	415	549	629	301
PSPPH_0224	114	140	78	38
alr	255	322	196	112
PSPPH_0226	57	61	30	11
PSPPH_0227	10	12	11	4
PSPPH_0228	4	10	2	0
PSPPH_0229	31	59	16	6
PSPPH_0230	32	50	14	9
PSPPH_0231	17	22	5	2
PSPPH_0232	37	41	11	3
PSPPH_0233	19	25	8	0
gcvT1	95	126	39	27
gcvH1	110	143	31	13
PSPPH_0236	53	52	29	10
PSPPH_0237	56	73	69	23
PSPPH_0238	6	7	3	1
PSPPH_0239	8	28	2	1
PSPPH_0240	119	144	29	11
argE1	133	189	31	14
argA	147	194	47	34
gshA	434	614	221	95
PSPPH_0244	42	40	9	4
tex	371	505	91	42
ompR	378	451	87	44
envZ	125	158	19	11
PSPPH_0248	37	46	10	7
PSPPH_0249	13	13	1	1
PSPPH_0250	4	13	2	0
PSPPH_0251	22	45	20	5
algB	168	274	107	49
PSPPH_0253	105	139	38	23
PSPPH_0254	23	34	6	4
PSPPH_0255	104	156	38	22
PSPPH_0256	184	304	101	36
dsbA	392	590	176	69
PSPPH_0258	81	128	32	11
polA	309	426	75	39
PSPPH_0260	15	36	13	6
