Gene	WT-1	WT-2	rhpS-1	rhpS-2
PSPPH_0932	6	8	1	0
dctM	15	29	0	1
PSPPH_0934	3	6	0	2
dctP	25	25	2	1
PSPPH_0936	22	27	8	4
PSPPH_0937	27	41	17	9
PSPPH_0938	9	19	0	1
PSPPH_0939	8	23	10	2
PSPPH_0940	12	31	10	5
PSPPH_0942	47	86	39	19
PSPPH_0943	50	80	35	17
PSPPH_0944	53	62	27	8
PSPPH_0945	1	4	0	0
PSPPH_0946	35	72	21	14
PSPPH_0947	145	182	71	36
PSPPH_0949	51	81	31	7
PSPPH_0950	46	66	6	5
PSPPH_0951	41	66	29	9
PSPPH_0952	163	244	44	30
gmd	426	601	140	53
PSPPH_0954	37	41	20	8
PSPPH_0955	60	96	44	11
PSPPH_0956	110	171	38	21
PSPPH_0957	121	219	33	15
PSPPH_0958	226	341	86	45
PSPPH_0959	71	107	25	14
PSPPH_0960	91	148	36	7
PSPPH_0961	173	279	36	25
PSPPH_0962	122	137	19	9
PSPPH_0963	191	342	42	29
PSPPH_0964	66	195	15	8
PSPPH_0965	0	82	0	1
PSPPH_0966	2	21	3	1
rfbA	100	119	55	18
rfbD	37	58	19	11
rfbB2	27	51	17	3
PSPPH_0970	9	69	3	6
PSPPH_0971	5	96	1	0
PSPPH_0972	11	198	6	1
PSPPH_0973	6	103	2	4
PSPPH_0974	9	39	3	2
PSPPH_0975	30	25	11	5
PSPPH_0976	0	9	1	1
PSPPH_0977	6	24	6	2
PSPPH_0978	26	60	15	6
PSPPH_0979	84	111	91	23
PSPPH_0980	48	86	29	12
PSPPH_0981	51	65	25	17
PSPPH_0982	41	53	15	6
PSPPH_0983	57	78	43	19
PSPPH_0984	438	630	198	75
PSPPH_0985	24	54	14	2
PSPPH_0986	0	0	2	0
PSPPH_0987	3	2	5	0
ychF	187	291	131	50
pth	74	87	32	12
PSPPH_0990	981	1382	352	166
prsA	393	557	376	144
ispE	29	65	42	44
lolB	36	49	6	1
PSPPH_0995	181	251	80	36
hemA	65	118	41	12
prfA	97	122	45	21
hemK	98	114	27	17
PSPPH_0999	40	62	26	4
murI	21	30	12	9
PSPPH_1001	277	335	47	31
PSPPH_1002	32	56	6	3
PSPPH_1003	11	20	5	1
PSPPH_1004	11	18	2	1
cfa1	43	68	20	6
PSPPH_1006	18	43	6	0
PSPPH_1007	73	102	17	8
PSPPH_1008	56	88	17	11
PSPPH_1009	8	24	2	0
phrB	131	201	41	19
PSPPH_1011	76	104	9	10
PSPPH_1012	79	80	8	4
PSPPH_1013	17	42	14	7
PSPPH_1014	209	255	61	28
PSPPH_1015	63	89	35	12
hemH	124	148	52	18
uraA	75	163	22	5
upp	64	96	24	13
hpt	37	54	34	12
PSPPH_1020	28	34	20	5
PSPPH_1021	40	58	32	16
PSPPH_1022	26	34	18	6
PSPPH_1023	24	32	12	3
PSPPH_1024	95	151	17	10
mqo1	777	1121	199	64
PSPPH_1026	2	4	2	0
PSPPH_1027	221	247	53	26
PSPPH_1028	86	117	50	32
PSPPH_1029	24	43	11	5
PSPPH_1030	14	19	6	7
PSPPH_1031	116	165	45	30
PSPPH_1032	4	10	5	2
PSPPH_1033	9	8	1	2
PSPPH_1034	17	36	6	3
PSPPH_1035	173	207	11	5
PSPPH_1036	56	55	39	10
rsmC	35	61	13	2
PSPPH_1038	33	56	10	4
alkK	121	204	34	20
PSPPH_1040	45	79	35	9
PSPPH_1041	20	38	6	1
PSPPH_1043	15	25	5	3
hpaC	4	5	3	0
PSPPH_1045	3	11	10	1
PSPPH_1046	3	5	1	1
PSPPH_1047	3	7	1	0
PSPPH_1048	2	20	3	0
PSPPH_1049	25	46	19	6
PSPPH_1050	45	39	32	14
PSPPH_1051	8	13	1	1
PSPPH_1052	4	8	1	1
PSPPH_1053	2	11	0	0
PSPPH_1054	184	273	24	17
PSPPH_1055	40	63	19	8
pta	162	217	48	19
PSPPH_1057	1	17	5	1
PSPPH_1058	147	224	82	30
PSPPH_1059	69	118	45	19
PSPPH_1060	34	61	14	9
PSPPH_1061	7	17	4	3
PSPPH_1062	0	21	0	0
PSPPH_1063	12	30	6	3
PSPPH_1064	1	0	0	0
PSPPH_1065	5	7	3	0
cysZ	47	56	12	9
trxB	254	386	81	34
PSPPH_1068	42	51	16	5
PSPPH_1069	43	75	17	7
folB2	49	56	14	5
folE1	95	130	34	14
PSPPH_1072	69	87	20	9
PSPPH_1073	13	14	15	3
PSPPH_1074	32	55	23	11
PSPPH_1075	35	51	6	6
PSPPH_1076	23	37	2	1
PSPPH_1077	1	12	1	2
PSPPH_1078	41	62	37	6
PSPPH_1079	7	17	4	8
PSPPH_1080	11	42	5	1
nfrB	10	30	4	5
PSPPH_1082	27	39	5	5
PSPPH_1083	13	40	6	0
PSPPH_1084	17	24	8	7
PSPPH_1085	11	16	11	12
PSPPH_1086	3	9	1	2
PSPPH_1088	17	49	12	4
PSPPH_1089	20	15	14	2
PSPPH_1090	1100	1333	285	102
PSPPH_1091	46	81	11	7
PSPPH_1092	5	16	14	2
PSPPH_1093	1	6	0	0
PSPPH_1094	7	2	0	0
PSPPH_1096	4	6	1	0
PSPPH_1097	9	29	6	3
PSPPH_1098	25	34	3	0
PSPPH_1099	124	183	22	7
PSPPH_1100	43	58	10	5
PSPPH_1101	14	31	4	4
PSPPH_1102	16	23	15	9
PSPPH_1103	0	0	0	0
PSPPH_1104	2	16	10	6
PSPPH_1105	20	36	15	3
PSPPH_1106	20	38	19	4
algA	164	211	288	123
algF	61	101	59	23
algJ	29	59	14	4
algI	61	83	17	10
algL	61	96	20	8
algX	54	94	11	10
algG	53	94	20	7
algE	75	128	22	7
algK	100	159	14	8
PSPPH_1116	128	182	49	12
PSPPH_1117	138	193	44	19
algD	510	735	212	82
PSPPH_1119	32	59	14	7
PSPPH_1120	55	71	66	31
PSPPH_1121	377	502	72	34
moaC	57	77	15	9
moaD	16	13	8	0
moaE	18	19	5	4
PSPPH_1125	7	18	10	0
PSPPH_1126	1	5	0	2
PSPPH_1127	9	18	1	4
rhlB	78	113	46	16
PSPPH_1129	63	82	27	10
PSPPH_1130	86	141	33	7
PSPPH_1131	27	49	7	6
PSPPH_1132	36	45	9	2
PSPPH_1133	53	49	13	7
PSPPH_1134	5	21	3	1
PSPPH_1135	11	13	1	1
PSPPH_1136	5	9	5	0
PSPPH_1137	16	50	9	6
PSPPH_1138	3	13	1	1
PSPPH_1139	23	35	8	3
PSPPH_1140	0	0	0	0
PSPPH_1141	0	0	0	0
PSPPH_1142	5	67	1	1
PSPPH_1143	20	30	20	8
PSPPH_1144	0	2	0	0
ndpA	51	91	39	17
PSPPH_1146	23	41	21	9
PSPPH_1148	51	113	56	24
PSPPH_1149	40	71	25	14
PSPPH_1150	33	49	22	2
PSPPH_1151	47	64	15	7
PSPPH_1152	33	43	32	13
valS	700	1011	283	108
PSPPH_1154	24	37	19	7
PSPPH_1155	61	107	24	13
holC	49	90	18	6
pepA	623	933	247	100
PSPPH_1158	76	77	42	22
PSPPH_1159	72	105	21	10
PSPPH_1160	176	245	107	63
gcvT2	209	295	79	41
gcvP	497	688	230	98
gcvH2	25	42	35	9
PSPPH_1164	0	3	0	0
PSPPH_1165	4	11	1	1
PSPPH_1166	37	65	30	14
PSPPH_1167	3	3	1	1
PSPPH_1168	7	28	7	6
PSPPH_1169	23	38	13	4
PSPPH_1170	26	54	18	5
PSPPH_1171	6	10	8	1
PSPPH_1172	8	21	4	1
PSPPH_1173	27	58	11	6
PSPPH_1174	15	18	12	4
PSPPH_1175	23	29	7	3
gap1	797	1080	240	112
edd	410	555	148	47
glk	151	229	75	41
gltR	92	105	32	16
PSPPH_1180	27	35	18	7
PSPPH_1181	98	144	21	13
PSPPH_1182	21	47	5	1
PSPPH_1183	20	37	10	5
gltK	120	175	33	15
oprB	327	463	85	32
PSPPH_1186	24	32	8	4
hexR	108	159	73	26
zwf1	678	877	208	85
pgl	355	470	46	47
eda1	335	533	70	48
PSPPH_1191	7	14	1	0
PSPPH_1192	91	135	24	12
PSPPH_1193	37	55	29	11
PSPPH_1194	3	25	7	0
PSPPH_1195	8	15	4	3
PSPPH_1196	14	36	7	6
PSPPH_1197	8	10	6	7
PSPPH_1198	0	12	0	1
PSPPH_1199	1	14	2	0
PSPPH_1200	1	11	5	1
PSPPH_1201	8	26	9	4
PSPPH_1203	0	12	5	2
PSPPH_1204	6	14	14	6
PSPPH_1205	16	40	14	6
PSPPH_1206	23	31	5	8
PSPPH_1207	46	74	37	10
PSPPH_1208	1	9	3	1
dsbB	55	49	21	16
cyoA	1362	1909	1143	476
cyoB	3298	4935	1885	853
cyoC	391	692	347	190
cyoD	162	287	143	78
cyoE	519	722	506	184
PSPPH_1215	2	10	1	2
PSPPH_1216	26	61	72	26
PSPPH_1217	2	0	2	0
ilvE	422	668	245	83
PSPPH_1219	44	71	16	11
PSPPH_1220	24	60	24	3
PSPPH_1221	36	81	7	9
PSPPH_1222	22	38	13	3
PSPPH_1223	76	129	14	15
sodC	20	36	8	4
PSPPH_1225	52	58	19	8
PSPPH_1226	185	251	51	20
PSPPH_1227	100	118	21	6
PSPPH_1229	14	36	9	3
PSPPH_1230	61	82	47	19
PSPPH_1231	5	11	4	3
PSPPH_1232	11	32	20	12
PSPPH_1233	14	22	4	4
PSPPH_1234	1	2	0	0
PSPPH_1235	3	6	1	2
PSPPH_1237	3	12	2	0
PSPPH_1239	1	14	0	0
PSPPH_1240	0	12	0	0
PSPPH_1242	3	23	2	0
PSPPH_1243	12	15	4	3
PSPPH_1244	9	20	9	5
PSPPH_1245	4	14	3	2
PSPPH_1246	22	29	11	4
hmp	11	38	17	3
PSPPH_1248	7	12	7	0
PSPPH_1249	24	23	11	4
PSPPH_1250	7	13	2	3
PSPPH_1251	20	29	4	1
PSPPH_1252	5	12	5	2
PSPPH_1253	5	2	3	1
PSPPH_1254	6	10	2	1
PSPPH_1255	6	20	3	0
PSPPH_1256	9	12	1	1
PSPPH_1257	5	13	0	0
PSPPH_1258	2	12	3	0
PSPPH_1259	12	29	7	0
PSPPH_1260	9	13	3	2
PSPPH_1261	246	279	84	34
hrpW1	14	33	6	5
shcM	3	12	3	0
shcF	1	12	4	2
avrE1	23	63	10	7
PSPPH_1269	4	21	6	1
hrpR	20	31	4	1
hrpS	15	25	5	0
hrpA2	8	16	4	2
hrpZ1	16	27	10	3
hrpB	4	3	0	1
hrcJ	6	9	2	2
hrpD	4	1	0	0
hrpE	1	6	0	0
hrpF	0	2	2	0
hrpG	0	6	0	1
hrcC	10	23	5	1
hrpT	0	0	0	0
hrpV	0	2	0	0
hrcU	5	3	2	0
hrcT	2	3	0	0
hrcS	1	1	0	0
hrcR	2	5	1	3
hrcQb	2	4	0	0
hrcQa	1	9	0	4
hrpP	1	11	1	0
hrpO	1	5	0	1
hrcN	8	17	3	1
hrpQ	5	14	1	0
hrcV	11	28	6	2
hrpJ	1	11	4	2
hrpL	0	9	1	0
hrpK1	16	30	4	3
hopX1	8	11	1	4
PSPPH_1297	16	35	36	11
queA	39	80	32	16
tgt	85	110	29	14
yajC	100	172	47	25
secD	414	638	108	53
secF	121	189	26	10
PSPPH_1304	224	363	143	59
PSPPH_1305	203	265	175	79
PSPPH_1306	63	80	36	20
cysE1	39	56	20	6
iscR	20	43	25	13
iscS	246	368	94	52
iscU	134	211	48	34
iscA	34	43	7	5
hscB	75	136	22	22
hscA	195	238	52	20
fdx	28	31	10	2
PSPPH_1315	15	15	10	9
ndk	283	438	141	79
PSPPH_1317	161	235	120	52
pilF	41	53	32	17
PSPPH_1319	121	162	73	40
ispG	158	241	80	36
hisS	204	255	87	44
PSPPH_1322	174	259	131	39
PSPPH_1323	326	432	177	79
PSPPH_1324	184	303	135	60
PSPPH_1325	119	176	56	31
PSPPH_1326	55	84	16	4
PSPPH_1327	14	33	16	5
bcpA	99	97	70	33
leuA	377	457	136	46
PSPPH_1330	32	45	18	11
xseA	33	54	23	7
PSPPH_1332	16	7	9	3
guaB	399	598	182	99
guaA	275	397	141	61
PSPPH_1335	18	59	11	5
PSPPH_1336	0	1	0	0
PSPPH_1337	11	28	6	2
cumA	12	20	2	0
PSPPH_1339	6	9	1	0
PSPPH_1340	33	59	20	7
purL	802	1249	388	169
PSPPH_1342	20	14	11	5
PSPPH_1343	20	38	22	4
mutT1	29	53	17	10
PSPPH_1345	45	63	17	12
PSPPH_1346	21	42	10	4
PSPPH_1347	2	13	1	3
PSPPH_1348	3	12	11	1
purT	243	275	94	50
PSPPH_1350	9	27	6	5
PSPPH_1351	13	43	33	5
PSPPH_1352	30	48	26	9
ffh	291	401	110	58
rpsP	259	369	174	96
rimM	209	379	106	57
trmD	434	624	297	113
rplS	222	323	107	50
xerD	22	36	15	9
dsbC	127	159	51	22
hom	518	653	99	43
thrC	332	505	117	36
PSPPH_1363	8	29	14	2
PSPPH_1364	17	29	5	3
PSPPH_1365	3	6	2	0
PSPPH_1366	23	36	19	3
PSPPH_1367	10	23	32	14
PSPPH_1368	26	48	33	9
recJ	87	123	28	20
PSPPH_1370	23	36	7	3
PSPPH_1371	12	29	8	1
PSPPH_1372	2	4	1	0
PSPPH_1373	0	6	0	0
PSPPH_1374	16	27	11	8
PSPPH_1375	36	32	72	22
nth	19	41	17	5
PSPPH_1377	15	35	17	9
metG	269	389	85	48
PSPPH_1379	133	204	38	17
capB	579	671	171	85
PSPPH_1381	73	127	27	11
PSPPH_1382	29	53	24	9
lhr	34	35	4	1
PSPPH_1384	17	34	4	2
PSPPH_1385	23	33	6	2
PSPPH_1386	9	20	3	0
PSPPH_1387	4	21	3	0
PSPPH_1388	44	60	27	14
PSPPH_1389	7	22	5	1
PSPPH_1390	6	9	4	0
PSPPH_1391	85	124	51	19
PSPPH_1392	1	3	0	0
PSPPH_1393	8	16	5	1
PSPPH_1394	5	8	2	3
PSPPH_1395	5	7	4	0
PSPPH_1396	6	6	3	0
PSPPH_1397	16	25	8	3
PSPPH_1399	26	40	14	10
PSPPH_1400	21	34	16	6
PSPPH_1401	16	19	12	2
PSPPH_1402	57	75	25	14
PSPPH_1403	19	53	9	3
tsk	7	17	7	2
PSPPH_1405	9	16	8	3
PSPPH_1406	62	101	30	14
estC	57	78	36	18
PSPPH_1408	172	262	62	29
pdxH	39	87	27	8
PSPPH_1410	64	72	28	16
PSPPH_1411	207	322	65	30
PSPPH_1412	59	86	31	12
PSPPH_1413	24	49	11	3
PSPPH_1414	28	58	14	6
PSPPH_1415	75	104	8	4
PSPPH_1416	49	79	10	0
PSPPH_1417	423	527	103	45
PSPPH_1418	16	31	7	4
PSPPH_1419	42	78	85	40
PSPPH_1420	7	22	11	2
PSPPH_1421	384	589	116	45
PSPPH_1422	15	23	7	3
PSPPH_1423	7	23	10	1
hopAK1	79	124	167	64
PSPPH_1425	73	111	100	35
fadD1	36	62	35	12
fadD2	154	162	62	18
hrpA	187	270	42	24
PSPPH_1429	135	174	74	20
PSPPH_1430	42	101	21	14
PSPPH_1431	56	90	27	7
PSPPH_1432	64	93	14	6
ppiA	72	94	34	7
catD1	28	30	10	2
PSPPH_1435	50	55	10	3
PSPPH_1436	10	24	25	14
PSPPH_1437	5	5	3	0
PSPPH_1438	41	94	8	9
PSPPH_1439	18	29	9	2
PSPPH_1440	52	47	20	9
PSPPH_1441	2	6	0	0
PSPPH_1442	1	6	1	2
hopAF1	7	54	1	3
PSPPH_1444	8	16	7	1
PSPPH_1445	0	1	1	0
PSPPH_1446	8	7	6	2
PSPPH_1448	2	33	1	1
PSPPH_1449	25	36	17	6
PSPPH_1450	1	8	0	0
PSPPH_1451	4	23	2	3
PSPPH_1452	1	27	0	0
PSPPH_1453	2	43	4	1
PSPPH_1454	0	7	0	0
PSPPH_1455	6	22	8	4
PSPPH_1456	16	20	8	2
PSPPH_1457	1	1	0	1
PSPPH_1458	1	7	1	0
PSPPH_1459	8	33	6	2
cpxR	16	27	8	2
PSPPH_1461	9	20	4	2
srmB	166	198	47	29
PSPPH_1463	12	17	10	1
PSPPH_1464	18	33	21	10
PSPPH_1465	21	28	15	4
PSPPH_1466	17	27	18	9
PSPPH_1467	16	36	6	4
PSPPH_1468	39	94	38	16
PSPPH_1469	14	28	5	11
PSPPH_1470	29	29	23	7
PSPPH_1471	17	16	13	7
PSPPH_1472	49	54	20	10
def2	51	54	16	16
PSPPH_1474	13	24	5	3
PSPPH_1475	56	67	26	10
PSPPH_1476	14	24	3	1
cdd	19	34	3	1
est	19	41	12	7
PSPPH_1479	48	54	21	6
PSPPH_1480	54	90	70	38
PSPPH_1481	21	28	9	5
PSPPH_1482	93	144	44	15
PSPPH_1483	20	31	18	1
PSPPH_1484	148	177	114	48
PSPPH_1485	25	48	22	12
PSPPH_1487	3	21	0	0
PSPPH_1488	6	25	4	0
PSPPH_1489	7	11	7	1
PSPPH_1490	1	4	1	0
PSPPH_1491	0	9	0	1
PSPPH_1492	4	9	2	1
PSPPH_1493	24	48	1	1
PSPPH_1494	33	23	6	4
PSPPH_1495	44	83	36	11
PSPPH_1496	96	136	52	18
proX	6	23	10	8
PSPPH_1498	6	19	5	2
PSPPH_1499	40	53	21	7
PSPPH_1500	3	8	2	0
PSPPH_1501	4	8	5	0
PSPPH_1502	12	12	2	0
PSPPH_1503	2	7	1	2
PSPPH_1504	0	3	0	1
PSPPH_1505	1	3	2	1
PSPPH_1506	3	13	7	3
PSPPH_1507	10	15	7	4
PSPPH_1508	19	41	8	6
asnB	33	56	13	7
PSPPH_1510	16	36	11	5
PSPPH_1511	21	28	12	4
PSPPH_1512	17	28	10	8
PSPPH_1513	18	21	12	3
PSPPH_1514	42	73	16	8
PSPPH_1515	58	94	17	9
PSPPH_1516	6	7	7	1
PSPPH_1517	102	106	87	37
recQ	83	123	35	13
PSPPH_1519	41	45	15	5
PSPPH_1520	110	139	49	22
PSPPH_1521	5	6	1	1
aer1	13	35	37	16
PSPPH_1523	17	48	3	1
PSPPH_1524	3	9	3	1
PSPPH_1525	30	80	19	10
PSPPH_1527	4	7	1	0
PSPPH_1528	3	6	1	0
PSPPH_1529	1	3	0	1
PSPPH_1530	5	14	5	4
nadA	110	145	111	29
PSPPH_1532	113	176	75	30
PSPPH_1533	18	11	20	2
PSPPH_1534	27	44	19	20
PSPPH_1535	46	85	28	14
PSPPH_1536	91	120	42	24
dapA	308	408	160	53
PSPPH_1538	273	397	76	40
PSPPH_1539	61	76	15	11
purC	182	228	103	55
PSPPH_1542	13	16	14	2
PSPPH_1543	6	14	5	0
PSPPH_1544	35	67	98	54
PSPPH_1545	480	557	78	34
PSPPH_1546	34	64	23	10
rnd	103	144	52	26
PSPPH_1548	11	13	5	2
PSPPH_1549	50	63	19	4
PSPPH_1550	156	186	61	29
PSPPH_1551	12	18	13	2
PSPPH_1552	15	26	3	4
PSPPH_1553	4	13	6	6
copB	32	35	11	9
PSPPH_1556	71	93	36	26
crp	39	52	13	10
PSPPH_1558	182	254	43	15
PSPPH_1559	39	50	27	8
PSPPH_1560	37	49	25	8
PSPPH_1561	26	43	19	7
PSPPH_1562	50	62	13	4
PSPPH_1564	10	19	6	2
PSPPH_1565	26	29	18	0
cysK	111	169	41	16
PSPPH_1567	127	139	68	34
PSPPH_1568	24	43	21	2
aas	72	96	40	24
PSPPH_1570	27	56	2	3
PSPPH_1571	109	157	29	12
PSPPH_1574	10	26	4	2
PSPPH_1575	67	67	32	9
PSPPH_1576	12	22	6	0
PSPPH_1577	24	42	12	1
PSPPH_1578	11	27	5	2
PSPPH_1579	32	52	12	9
PSPPH_1580	8	10	1	2
PSPPH_1581	9	33	3	3
PSPPH_1582	401	569	126	50
PSPPH_1583	18	31	1	2
PSPPH_1584	11	22	10	1
PSPPH_1585	14	13	2	8
PSPPH_1586	18	20	9	3
prc	918	1222	198	88
PSPPH_1588	184	248	43	26
PSPPH_1589	92	90	25	7
PSPPH_1590	8	13	10	8
PSPPH_1591	10	9	5	3
PSPPH_1592	2	8	0	1
PSPPH_1593	4	14	3	7
PSPPH_1594	31	47	63	29
PSPPH_1595	4	9	3	0
PSPPH_1597	0	3	1	1
PSPPH_1599	143	154	54	26
PSPPH_1600	9	12	4	0
PSPPH_1601	69	125	57	23
PSPPH_1602	0	8	1	0
rluA	36	49	10	2
minE	45	37	4	2
minD	282	461	154	75
minC	74	61	41	17
htrB	36	46	15	3
PSPPH_1608	45	39	20	11
PSPPH_1609	0	0	0	0
PSPPH_1610	2	11	2	2
PSPPH_1611	6	10	2	0
PSPPH_1612	3	3	0	0
PSPPH_1613	7	17	1	0
PSPPH_1614	5	18	7	2
PSPPH_1615	5	6	1	2
PSPPH_1617	20	25	17	7
PSPPH_1619	29	39	17	6
PSPPH_1620	31	47	25	11
PSPPH_1621	216	266	66	22
PSPPH_1622	43	56	15	4
PSPPH_1623	42	69	17	14
PSPPH_1624	26	59	6	5
PSPPH_1626	47	92	37	13
PSPPH_1627	27	42	6	4
lpxK	26	49	15	6
PSPPH_1629	10	12	4	1
kdsB	82	83	18	12
murB	72	86	20	6
PSPPH_1632	347	487	144	68
rluC	53	97	11	9
PSPPH_1634	27	39	8	2
sppA	123	140	44	19
maf1	29	35	11	10
PSPPH_1637	75	143	158	79
rpmF	12	18	6	5
plsX	71	110	68	17
fabD	174	237	149	66
fabG	269	386	155	82
acpP1	414	613	286	122
fabF	554	730	428	196
PSPPH_1644	89	118	40	16
PSPPH_1645	84	101	63	18
tmk	84	100	22	19
holB	58	107	42	20
pilZ	35	44	21	6
PSPPH_1649	98	153	41	25
PSPPH_1650	7	29	10	4
PSPPH_1651	60	104	45	23
PSPPH_1652	11	25	5	2
PSPPH_1653	13	18	23	8
PSPPH_1654	63	98	46	24
PSPPH_1655	311	411	119	87
truA	24	37	24	8
trpF	37	41	27	6
accD	77	128	122	32
folC	43	58	29	20
PSPPH_1660	40	40	14	12
cvpA	16	19	19	6
purF	363	538	229	87
metZ	228	322	110	50
PSPPH_1664	82	140	44	20
PSPPH_1668	59	62	38	18
ilvA1	79	104	14	10
PSPPH_1670	24	37	20	8
PSPPH_1671	19	27	13	8
fadH	90	110	35	12
PSPPH_1673	19	27	9	7
PSPPH_1674	4	16	5	1
PSPPH_1675	1	5	0	1
lpxH	59	57	39	11
ppiB	159	195	82	40
glnS	278	392	116	39
cysS	159	243	61	20
PSPPH_1680	23	38	11	8
PSPPH_1681	2	9	3	4
PSPPH_1682	3	5	3	1
PSPPH_1683	6	7	0	1
PSPPH_1684	9	14	15	3
PSPPH_1685	3	7	8	3
PSPPH_1686	53	85	54	17
folD1	92	140	39	15
PSPPH_1691	15	38	12	2
PSPPH_1692	5	7	5	1
PSPPH_1693	5	56	1	1
PSPPH_1694	35	71	36	12
PSPPH_1695	30	54	27	25
PSPPH_1696	13	19	20	7
tig	679	1001	288	168
clpP	359	492	150	66
clpX	1285	1938	500	209
lon1	1842	2653	690	313
hupB	573	830	201	96
PSPPH_1702	778	1171	199	91
fabI	258	402	123	59
PSPPH_1704	56	98	56	27
PSPPH_1705	18	42	13	6
PSPPH_1706	33	38	13	5
PSPPH_1707	61	110	26	9
PSPPH_1708	32	37	18	5
mltD	65	159	101	42
PSPPH_1710	44	39	25	6
PSPPH_1711	84	100	26	19
rnhA	35	49	20	6
PSPPH_1713	29	35	17	5
cysE2	7	14	6	0
dnaQ	80	105	39	14
PSPPH_1716	20	29	10	3
PSPPH_1717	11	18	12	3
PSPPH_1718	90	94	24	11
PSPPH_1719	44	112	37	10
acdA	103	155	39	14
PSPPH_1721	126	162	59	29
PSPPH_1722	27	21	9	8
PSPPH_1723	17	29	17	7
PSPPH_1724	7	23	3	3
PSPPH_1725	5	14	1	2
PSPPH_1726	30	61	42	11
PSPPH_1727	6	16	4	2
PSPPH_1728	20	19	14	3
PSPPH_1729	62	115	19	9
PSPPH_1730	25	60	11	2
PSPPH_1732	4	7	0	0
PSPPH_1734	19	37	7	3
PSPPH_1735	1	3	0	2
PSPPH_1736	15	40	6	5
PSPPH_1737	15	38	5	0
PSPPH_1738	3	10	4	0
PSPPH_1739	3	12	1	1
PSPPH_1740	50	40	8	3
PSPPH_1741	2	0	0	1
PSPPH_1742	4	19	1	1
PSPPH_1743	36	51	9	2
PSPPH_1744	13	19	1	2
PSPPH_1745	11	25	1	2
PSPPH_1746	45	66	12	5
dehII1	15	29	3	2
PSPPH_1748	2	11	2	2
PSPPH_1749	195	284	31	20
PSPPH_1750	54	86	11	6
PSPPH_1751	90	157	31	11
PSPPH_1752	13	22	14	4
PSPPH_1753	15	26	9	3
PSPPH_1754	13	26	5	1
PSPPH_1755	0	2	0	0
PSPPH_1756	11	24	2	3
PSPPH_1757	0	6	1	1
PSPPH_1758	12	23	4	2
PSPPH_1759	4	4	5	1
PSPPH_1760	7	5	1	3
PSPPH_1761	39	63	25	11
PSPPH_1762	10	20	4	3
PSPPH_1763	32	51	20	7
PSPPH_1765	16	31	8	4
allA	6	13	1	2
PSPPH_1767	52	54	12	6
PSPPH_1768	11	14	4	0
PSPPH_1769	17	20	7	6
PSPPH_1770	12	21	8	8
PSPPH_1771	39	55	49	16
guaD	41	87	24	1
PSPPH_1773	25	47	10	4
PSPPH_1774	200	260	38	10
xdhA	109	159	29	14
PSPPH_1776	33	34	26	8
smc	89	154	56	21
zipA	132	165	92	21
ligA	124	162	46	14
PSPPH_1780	25	35	11	5
PSPPH_1781	7	18	4	2
PSPPH_1782	7	25	0	1
PSPPH_1783	17	31	16	6
PSPPH_1784	7	10	19	2
dnaZX	195	235	100	32
PSPPH_1786	92	122	63	28
PSPPH_1787	12	12	5	4
PSPPH_1788	63	83	20	8
PSPPH_1789	25	28	46	19
PSPPH_1790	27	44	16	4
PSPPH_1791	33	34	23	8
PSPPH_1792	20	21	19	11
PSPPH_1793	26	43	9	7
PSPPH_1794	14	9	8	2
PSPPH_1795	10	30	6	4
pyrF	34	68	34	25
PSPPH_1797	40	56	20	9
PSPPH_1798	58	101	25	19
PSPPH_1799	76	105	30	16
PSPPH_1800	23	39	3	2
PSPPH_1802	64	74	39	11
PSPPH_1803	24	35	18	10
PSPPH_1804	27	42	24	7
folE2	59	80	40	9
PSPPH_1806	33	48	49	21
PSPPH_1807	16	39	17	4
PSPPH_1808	78	119	72	19
PSPPH_1809	66	135	41	13
PSPPH_1810	17	21	1	5
PSPPH_1811	8	17	7	1
aroC	96	135	31	28
PSPPH_1813	17	29	10	3
PSPPH_1814	22	40	5	4
PSPPH_1815	45	72	21	5
PSPPH_1816	42	52	15	4
PSPPH_1817	3	2	1	0
PSPPH_1818	15	36	9	5
PSPPH_1819	17	36	10	6
PSPPH_1820	23	30	27	10
PSPPH_1821	15	16	10	5
gufA	16	18	5	1
PSPPH_1823	23	25	5	6
speE	115	140	48	19
PSPPH_1825	143	224	45	12
PSPPH_1826	4	10	2	3
PSPPH_1827	21	48	49	20
PSPPH_1828	32	65	42	23
PSPPH_1829	36	31	4	6
PSPPH_1830	41	43	23	1
PSPPH_1831	12	14	12	4
corA	45	57	26	10
PSPPH_1834	76	153	30	8
PSPPH_1835	24	32	25	4
PSPPH_1836	14	20	10	5
PSPPH_1837	12	31	16	5
PSPPH_1838	1	7	1	3
cycA	6	14	10	4
PSPPH_1840	2	6	2	3
PSPPH_1841	7	11	11	13
PSPPH_1842	20	19	30	9
PSPPH_1843	40	60	45	17
PSPPH_1844	0	0	0	0
PSPPH_1845	4	2	2	0
PSPPH_1847	6	20	8	4
PSPPH_1848	7	12	7	4
PSPPH_1849	101	168	38	13
PSPPH_1850	21	30	13	4
mfd	188	286	53	24
gap2	253	349	44	28
PSPPH_1853	9	21	5	2
PSPPH_1854	80	111	23	11
PSPPH_1855	17	22	8	3
sthA	403	571	97	36
PSPPH_1857	66	85	34	15
PSPPH_1858	31	47	25	12
lolC	53	82	24	8
lolD	57	51	8	6
